customerId,firstname,lastname,email,city,state,country,zipcode
1,Riya,Reddy,riya.reddy1@example.com,Mumbai,MH,India,656538
2,Aarav,Gupta,aarav.gupta2@example.com,Mumbai,WB,India,772787
3,Arjun,Singh,arjun.singh3@example.com,Delhi,WB,India,058510
4,Ishita,Gupta,ishita.gupta4@example.com,Kolkata,DL,India,281667
5,Vihaan,Sharma,vihaan.sharma5@example.com,Hyderabad,GJ,India,420919
6,Vihaan,Mehta,vihaan.mehta6@example.com,Bengaluru,MH,India,487422
7,Ananya,Gupta,ananya.gupta7@example.com,Ahmedabad,KA,India,735702
8,Riya,Verma,riya.verma8@example.com,Delhi,KA,India,299323
9,Ishita,Gupta,ishita.gupta9@example.com,Bengaluru,MH,India,511824
10,Aditya,Reddy,aditya.reddy10@example.com,Pune,GJ,India,056992
11,Ishita,Verma,ishita.verma11@example.com,Chennai,KA,India,646008
12,Aarav,Singh,aarav.singh12@example.com,Hyderabad,TS,India,145464
13,Ishita,Patel,ishita.patel13@example.com,Mumbai,MH,India,492550
14,Arjun,Mehta,arjun.mehta14@example.com,Delhi,GJ,India,043476
15,Vihaan,Das,vihaan.das15@example.com,Ahmedabad,DL,India,835512
16,Aditya,Gupta,aditya.gupta16@example.com,Kolkata,GJ,India,018343
17,Aarav,Mehta,aarav.mehta17@example.com,Ahmedabad,DL,India,084527
18,Sai,Das,sai.das18@example.com,Bengaluru,KA,India,006446
19,Aarav,Das,aarav.das19@example.com,Delhi,WB,India,984330
20,Aditya,Reddy,aditya.reddy20@example.com,Pune,GJ,India,726407
21,Ananya,Iyer,ananya.iyer21@example.com,Kolkata,MH,India,380501
22,Ishita,Das,ishita.das22@example.com,Bengaluru,TN,India,885809
23,Ananya,Gupta,ananya.gupta23@example.com,Mumbai,GJ,India,436831
24,Ananya,Reddy,ananya.reddy24@example.com,Ahmedabad,MH,India,948806
25,Ishita,Patel,ishita.patel25@example.com,Kolkata,GJ,India,502496
26,Ishita,Singh,ishita.singh26@example.com,Chennai,MH,India,177542
27,Sai,Das,sai.das27@example.com,Kolkata,KA,India,161659
28,Aarav,Verma,aarav.verma28@example.com,Kolkata,KA,India,256739
29,Ananya,Gupta,ananya.gupta29@example.com,Kolkata,TN,India,505076
30,Diya,Gupta,diya.gupta30@example.com,Pune,TN,India,091256
31,Diya,Das,diya.das31@example.com,Bengaluru,GJ,India,949430
32,Ananya,Reddy,ananya.reddy32@example.com,Pune,TN,India,487399
33,Vivaan,Reddy,vivaan.reddy33@example.com,Chennai,TN,India,060062
34,Ananya,Khan,ananya.khan34@example.com,Ahmedabad,DL,India,049558
35,Diya,Reddy,diya.reddy35@example.com,Delhi,MH,India,677548
36,Ishita,Gupta,ishita.gupta36@example.com,Bengaluru,TN,India,886884
37,Vihaan,Khan,vihaan.khan37@example.com,Bengaluru,MH,India,184000
38,Aarav,Mehta,aarav.mehta38@example.com,Ahmedabad,GJ,India,629696
39,Vivaan,Singh,vivaan.singh39@example.com,Pune,TS,India,964827
40,Vihaan,Iyer,vihaan.iyer40@example.com,Pune,TN,India,377204
41,Aarav,Verma,aarav.verma41@example.com,Pune,KA,India,967024
42,Sai,Reddy,sai.reddy42@example.com,Ahmedabad,GJ,India,568727
43,Vivaan,Singh,vivaan.singh43@example.com,Chennai,WB,India,005176
44,Vivaan,Gupta,vivaan.gupta44@example.com,Bengaluru,GJ,India,088000
45,Aditya,Gupta,aditya.gupta45@example.com,Hyderabad,WB,India,241517
46,Arjun,Mehta,arjun.mehta46@example.com,Hyderabad,WB,India,591342
47,Aditya,Iyer,aditya.iyer47@example.com,Bengaluru,DL,India,061237
48,Diya,Iyer,diya.iyer48@example.com,Pune,TN,India,004310
49,Vivaan,Verma,vivaan.verma49@example.com,Hyderabad,MH,India,652407
50,Sai,Iyer,sai.iyer50@example.com,Mumbai,DL,India,466068
51,Sai,Sharma,sai.sharma51@example.com,Pune,TN,India,616682
52,Arjun,Patel,arjun.patel52@example.com,Ahmedabad,MH,India,167455
53,Sai,Mehta,sai.mehta53@example.com,Hyderabad,DL,India,482736
54,Riya,Reddy,riya.reddy54@example.com,Chennai,KA,India,004332
55,Sai,Khan,sai.khan55@example.com,Ahmedabad,KA,India,205088
56,Vivaan,Mehta,vivaan.mehta56@example.com,Bengaluru,GJ,India,695401
57,Sai,Das,sai.das57@example.com,Bengaluru,DL,India,886676
58,Vihaan,Gupta,vihaan.gupta58@example.com,Delhi,GJ,India,956581
59,Diya,Iyer,diya.iyer59@example.com,Delhi,DL,India,939233
60,Aditya,Iyer,aditya.iyer60@example.com,Delhi,MH,India,402795
61,Riya,Gupta,riya.gupta61@example.com,Bengaluru,TS,India,191992
62,Arjun,Singh,arjun.singh62@example.com,Pune,TS,India,446689
63,Diya,Sharma,diya.sharma63@example.com,Bengaluru,KA,India,822650
64,Ishita,Khan,ishita.khan64@example.com,Chennai,MH,India,223203
65,Sai,Khan,sai.khan65@example.com,Hyderabad,TN,India,597179
66,Vihaan,Singh,vihaan.singh66@example.com,Delhi,MH,India,824791
67,Ishita,Verma,ishita.verma67@example.com,Delhi,KA,India,869920
